Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:00:00 AM,10,Tuesday,13,2,2,24,41,normal
12:15:00 AM,10,Tuesday,14,1,1,36,52,low
12:30:00 AM,10,Tuesday,10,2,2,32,46,normal
12:45:00 AM,10,Tuesday,10,2,2,36,50,normal
01:00:00 AM,10,Tuesday,11,2,1,34,48,normal
01:15:00 AM,10,Tuesday,15,1,1,39,56,low
01:30:00 AM,10,Tuesday,14,2,2,27,45,normal
01:45:00 AM,10,Tuesday,13,2,1,20,36,normal
02:00:00 AM,10,Tuesday,7,0,0,26,33,normal
02:15:00 AM,10,Tuesday,13,0,0,34,47,normal
02:30:00 AM,10,Tuesday,15,2,0,38,55,low
02:45:00 AM,10,Tuesday,5,2,0,37,44,normal
03:00:00 AM,10,Tuesday,9,1,0,34,44,normal
03:15:00 AM,10,Tuesday,8,0,2,35,45,normal
03:30:00 AM,10,Tuesday,7,0,0,34,41,normal
03:45:00 AM,10,Tuesday,10,1,2,38,51,low
04:00:00 AM,10,Tuesday,82,7,3,10,102,high
04:15:00 AM,10,Tuesday,71,3,0,30,104,high
04:30:00 AM,10,Tuesday,89,10,2,10,111,high
04:45:00 AM,10,Tuesday,77,3,0,18,98,low
05:00:00 AM,10,Tuesday,90,2,0,22,114,high
05:15:00 AM,10,Tuesday,84,1,7,23,115,high
05:30:00 AM,10,Tuesday,88,8,6,10,112,high
05:45:00 AM,10,Tuesday,97,27,15,8,147,high
06:00:00 AM,10,Tuesday,107,10,24,11,152,heavy
06:15:00 AM,10,Tuesday,82,26,11,5,124,high
06:30:00 AM,10,Tuesday,93,16,24,10,143,high
06:45:00 AM,10,Tuesday,128,18,14,6,166,heavy
07:00:00 AM,10,Tuesday,110,19,12,14,155,heavy
07:15:00 AM,10,Tuesday,122,13,10,5,150,high
07:30:00 AM,10,Tuesday,92,14,16,12,134,high
07:45:00 AM,10,Tuesday,143,30,17,12,202,heavy
08:00:00 AM,10,Tuesday,134,18,21,11,184,heavy
08:15:00 AM,10,Tuesday,134,30,15,14,193,heavy
08:30:00 AM,10,Tuesday,119,13,14,13,159,heavy
08:45:00 AM,10,Tuesday,139,12,22,13,186,heavy
09:00:00 AM,10,Tuesday,73,9,14,17,113,high
09:15:00 AM,10,Tuesday,33,12,9,6,60,low
09:30:00 AM,10,Tuesday,69,9,26,9,113,high
09:45:00 AM,10,Tuesday,69,12,10,5,96,low
10:00:00 AM,10,Tuesday,55,11,9,17,92,low
10:15:00 AM,10,Tuesday,32,7,27,12,78,low
10:30:00 AM,10,Tuesday,53,13,7,5,78,low
10:45:00 AM,10,Tuesday,34,10,9,35,88,low
11:00:00 AM,10,Tuesday,32,10,10,26,78,low
11:15:00 AM,10,Tuesday,47,10,5,25,87,low
11:30:00 AM,10,Tuesday,28,0,5,29,62,low
11:45:00 AM,10,Tuesday,35,7,13,34,89,low
12:00:00 PM,10,Tuesday,38,10,8,31,87,low
12:15:00 PM,10,Tuesday,32,3,12,35,82,low
12:30:00 PM,10,Tuesday,54,5,12,29,100,low
12:45:00 PM,10,Tuesday,52,2,12,29,95,low
01:00:00 PM,10,Tuesday,68,19,18,30,135,high
01:15:00 PM,10,Tuesday,73,15,3,17,108,high
01:30:00 PM,10,Tuesday,21,18,18,23,80,low
01:45:00 PM,10,Tuesday,63,11,16,11,101,high
02:00:00 PM,10,Tuesday,7,17,20,18,62,low
02:15:00 PM,10,Tuesday,76,15,32,17,140,high
02:30:00 PM,10,Tuesday,59,14,18,28,119,high
02:45:00 PM,10,Tuesday,90,9,3,14,116,high
03:00:00 PM,10,Tuesday,5,13,4,20,42,normal
03:15:00 PM,10,Tuesday,33,18,22,23,96,low
03:30:00 PM,10,Tuesday,39,19,13,23,94,low
03:45:00 PM,10,Tuesday,150,21,10,14,195,heavy
04:00:00 PM,10,Tuesday,126,27,40,19,212,heavy
04:15:00 PM,10,Tuesday,144,7,35,17,203,heavy
04:30:00 PM,10,Tuesday,145,13,12,18,188,heavy
04:45:00 PM,10,Tuesday,121,29,27,15,192,heavy
05:00:00 PM,10,Tuesday,150,21,37,19,227,heavy
05:15:00 PM,10,Tuesday,122,8,10,11,151,heavy
05:30:00 PM,10,Tuesday,129,20,35,18,202,heavy
05:45:00 PM,10,Tuesday,114,7,39,19,179,heavy
06:00:00 PM,10,Tuesday,109,10,26,17,162,heavy
06:15:00 PM,10,Tuesday,101,22,24,18,165,heavy
06:30:00 PM,10,Tuesday,91,13,8,12,124,high
06:45:00 PM,10,Tuesday,90,17,10,11,128,high
07:00:00 PM,10,Tuesday,107,2,15,35,159,heavy
07:15:00 PM,10,Tuesday,66,7,5,22,100,low
07:30:00 PM,10,Tuesday,98,5,7,30,140,high
07:45:00 PM,10,Tuesday,91,10,17,28,146,high
08:00:00 PM,10,Tuesday,82,4,9,20,115,high
08:15:00 PM,10,Tuesday,65,10,19,18,112,high
08:30:00 PM,10,Tuesday,54,3,20,15,92,low
08:45:00 PM,10,Tuesday,78,6,16,35,135,high
09:00:00 PM,10,Tuesday,70,20,10,33,133,high
09:15:00 PM,10,Tuesday,90,9,11,11,121,high
09:30:00 PM,10,Tuesday,96,0,19,23,138,high
09:45:00 PM,10,Tuesday,14,1,0,27,42,normal
10:00:00 PM,10,Tuesday,7,1,0,36,44,normal
10:15:00 PM,10,Tuesday,9,0,2,35,46,normal
10:30:00 PM,10,Tuesday,7,0,0,34,41,normal
10:45:00 PM,10,Tuesday,11,0,1,33,45,normal
11:00:00 PM,10,Tuesday,11,2,2,40,55,low
11:15:00 PM,10,Tuesday,11,1,0,31,43,normal
11:30:00 PM,10,Tuesday,9,2,1,20,32,normal
11:45:00 PM,10,Tuesday,8,1,2,31,42,normal
12:00:00 AM,11,Wednesday,9,1,2,29,41,normal
12:15:00 AM,11,Wednesday,12,2,1,32,47,normal
12:30:00 AM,11,Wednesday,11,2,1,33,47,normal
12:45:00 AM,11,Wednesday,7,0,0,29,36,normal
01:00:00 AM,11,Wednesday,5,1,2,21,29,normal
01:15:00 AM,11,Wednesday,13,1,2,20,36,normal
01:30:00 AM,11,Wednesday,7,1,0,40,48,normal
01:45:00 AM,11,Wednesday,13,2,2,30,47,normal
02:00:00 AM,11,Wednesday,10,0,2,35,47,normal
02:15:00 AM,11,Wednesday,15,2,2,32,51,low
02:30:00 AM,11,Wednesday,8,2,2,26,38,normal
02:45:00 AM,11,Wednesday,11,0,0,28,39,normal
03:00:00 AM,11,Wednesday,7,0,1,36,44,normal
03:15:00 AM,11,Wednesday,8,0,1,32,41,normal
03:30:00 AM,11,Wednesday,15,1,0,35,51,low
03:45:00 AM,11,Wednesday,9,1,0,33,43,normal
04:00:00 AM,11,Wednesday,72,7,2,14,95,low
04:15:00 AM,11,Wednesday,64,7,7,20,98,low
04:30:00 AM,11,Wednesday,85,8,5,14,112,low
04:45:00 AM,11,Wednesday,73,6,6,15,100,low
05:00:00 AM,11,Wednesday,57,0,0,15,72,low
05:15:00 AM,11,Wednesday,81,4,4,24,113,high
05:30:00 AM,11,Wednesday,54,6,3,18,81,low
05:45:00 AM,11,Wednesday,97,22,23,12,154,heavy
06:00:00 AM,11,Wednesday,109,10,14,13,146,high
06:15:00 AM,11,Wednesday,102,23,23,11,159,heavy
06:30:00 AM,11,Wednesday,135,13,18,6,172,heavy
06:45:00 AM,11,Wednesday,105,12,13,9,139,high
07:00:00 AM,11,Wednesday,90,17,19,8,134,high
07:15:00 AM,11,Wednesday,104,14,19,7,144,high
07:30:00 AM,11,Wednesday,134,20,24,8,186,heavy
07:45:00 AM,11,Wednesday,120,26,17,8,171,heavy
08:00:00 AM,11,Wednesday,142,19,16,5,182,heavy
08:15:00 AM,11,Wednesday,121,28,20,15,184,heavy
08:30:00 AM,11,Wednesday,85,26,17,9,137,high
08:45:00 AM,11,Wednesday,140,15,14,12,181,heavy
09:00:00 AM,11,Wednesday,68,12,29,12,121,high
09:15:00 AM,11,Wednesday,56,7,14,15,92,low
09:30:00 AM,11,Wednesday,33,14,12,19,78,low
09:45:00 AM,11,Wednesday,61,9,18,6,94,low
10:00:00 AM,11,Wednesday,36,10,24,14,84,low
10:15:00 AM,11,Wednesday,57,13,22,19,111,high
10:30:00 AM,11,Wednesday,64,9,20,19,112,high
10:45:00 AM,11,Wednesday,30,7,1,31,69,low
11:00:00 AM,11,Wednesday,54,10,10,28,102,high
11:15:00 AM,11,Wednesday,28,5,12,29,74,low
11:30:00 AM,11,Wednesday,50,2,4,30,86,low
11:45:00 AM,11,Wednesday,60,4,3,26,93,low
12:00:00 PM,11,Wednesday,39,4,4,30,77,low
12:15:00 PM,11,Wednesday,32,1,12,27,72,low
12:30:00 PM,11,Wednesday,59,3,12,28,102,high
12:45:00 PM,11,Wednesday,64,9,9,25,107,high
01:00:00 PM,11,Wednesday,52,17,17,21,107,high
01:15:00 PM,11,Wednesday,96,14,3,22,135,high
01:30:00 PM,11,Wednesday,61,8,21,24,114,high
01:45:00 PM,11,Wednesday,100,7,11,22,140,high
02:00:00 PM,11,Wednesday,6,8,32,24,70,low
02:15:00 PM,11,Wednesday,88,14,32,26,160,heavy
